IDVenta,Unidades,Ingresos por productos (MXN),Cargo por venta e impuestos,Costos de envío,Total (MXN),Venta por publicidad,IDproducto,Canal de venta,Precio unitario de venta de la publicación (MXN),Municipio/Alcaldía,Estado,Código postal,Forma de entrega,Transportista,Fecha Venta,FechaCamino,FechaEntrega,Ganancia,Tiempo de entrega (días),Fecha Venta_season,Fecha Venta_day_of_week,Fecha Venta_holiday,Fecha Venta_month,Fecha Venta_year,FechaCamino_season,FechaCamino_day_of_week,FechaCamino_holiday,FechaCamino_month,FechaCamino_year,FechaEntrega_season,FechaEntrega_day_of_week,FechaEntrega_holiday,FechaEntrega_month,FechaEntrega_year
2000002818992419,2,332.5,-125.680000305176,0.0,206.820007324219,No,MLM797896213,Mercado Libre,175.0,Cuernavaca,Morelos,62010,Mercado Envíos Full,Mercado Envios,2022-03-19,2022-03-19,2022-03-19,332.500007629395,0,Spring,Saturday,False,March,2022,Spring,Saturday,False,March,2022,Spring,Saturday,False,March,2022
2000002818293386,1,166.25,-62.8400001525879,0.0,103.410003662109,Sí,MLM797896213,Mercado Libre,175.0,Miguel Hidalgo,Distrito Federal,11400,Mercado Envíos Full,Mercado Envios,2022-03-11,2022-03-11,2022-03-11,166.2500038146969,0,Spring,Friday,False,March,2022,Spring,Friday,False,March,2022,Spring,Friday,False,March,2022
2000002818272991,1,213.75,-73.6399993896484,-94.0,140.110000610352,Sí,MLM797896213,Mercado Libre,175.0,Naucalpan,Estado De México,53420,Mercado Envíos Full,Mercado Envios,2022-03-10,2022-03-10,2022-03-10,307.7500000000004,0,Spring,Thursday,False,March,2022,Spring,Thursday,False,March,2022,Spring,Thursday,False,March,2022
2000002817704142,2,350.0,-129.660003662109,-27.0,220.339996337891,Sí,MLM797896213,Mercado Libre,175.0,Cuauhtémoc,Distrito Federal,6600,Mercado Envíos Full,Mercado Envios,2022-03-07,2022-03-07,2022-03-07,377.0,0,Spring,Monday,False,March,2022,Spring,Monday,False,March,2022,Spring,Monday,False,March,2022
2000002813390508,3,498.75,-188.520004272461,0.0,310.230010986328,Sí,MLM797896213,Mercado Libre,166.25,Coyoacán,Distrito Federal,4470,Mercado Envíos Full,Mercado Envios,2022-02-20,2022-02-20,2022-02-20,498.750015258789,0,Winter,Sunday,False,February,2022,Winter,Sunday,False,February,2022,Winter,Sunday,False,February,2022
5162100476,1,295.0,-92.129997253418,-98.0,202.869995117188,No,MLM797896213,Mercado Libre,175.0,Miguel Hidalgo,Distrito Federal,11590,Mercado Envíos Full,Mercado Envios,2022-02-01,2022-02-01,2022-02-01,392.99999237060604,0,Winter,Tuesday,False,February,2022,Winter,Tuesday,False,February,2022,Winter,Tuesday,False,February,2022
5130502646,1,155.0,-60.2799987792969,-99.0,94.7200012207031,No,MLM797896213,Mercado Libre,166.25,Iztapalapa,Distrito Federal,9750,Mercado Envíos Full,Mercado Envios,2022-01-21,2022-01-21,2022-01-21,254.0,0,Winter,Friday,False,January,2022,Winter,Friday,False,January,2022,Winter,Friday,False,January,2022
2000002794047356,1,162.75,-62.0299987792969,0.0,100.720001220703,No,MLM797896213,Mercado Libre,175.0,Tlalmanalco,Estado De México,56740,Mercado Envíos Full,Mercado Envios,2021-12-20,2021-12-20,2021-12-20,162.7499999999999,0,Winter,Monday,False,December,2021,Winter,Monday,False,December,2021,Winter,Monday,False,December,2021
5120545810,1,162.75,-62.0299987792969,-94.0,100.720001220703,No,MLM797896213,Mercado Libre,175.0,Miguel Hidalgo,Distrito Federal,11800,Mercado Envíos Full,Mercado Envios,2021-12-19,2021-12-19,2021-12-19,256.7499999999999,0,Winter,Sunday,False,December,2021,Winter,Sunday,False,December,2021,Winter,Sunday,False,December,2021
2000002792385885,1,162.75,-62.0299987792969,0.0,100.720001220703,No,MLM797896213,Mercado Libre,166.25,La Magdalena Contreras,Distrito Federal,10800,Mercado Envíos Full,Mercado Envios,2021-12-16,2021-12-16,2021-12-16,162.7499999999999,0,Winter,Thursday,False,December,2021,Winter,Thursday,False,December,2021,Winter,Thursday,False,December,2021
